model,b_dH,t_dH,b_dS,t_dS,test
FM baseline (no q-controls),0.001043,2.7026,0.005108,4.6752,R16.3
"Pool+q (ME,IA,ROE)",0.001074,2.3207,0.005131,4.9747,R16.3
