,pearson,spearman
1995-01-31,0.9999767639456285,0.9999194545013632
1995-02-28,0.9999770596815273,0.9998977478978578
1995-03-31,0.9999781566496049,0.9999116571942601
1995-04-30,0.9999801408757012,0.9999341936243996
1995-05-31,0.9999805420141932,0.999932616058926
1995-06-30,0.9999828641616021,0.999936221888561
1995-07-31,0.9999818109278643,0.9999278985135478
1995-08-31,0.9999829541166193,0.9999272308908208
1995-09-30,0.9999838249426147,0.9999049773405451
1995-10-31,0.9999848366123728,0.999928121032832
1995-11-30,0.9999851521729852,0.9999494844410965
1995-12-31,0.9999855212364247,0.9999218900387546
1996-01-31,0.9999862125741787,0.999931681600876
1996-02-29,0.9999855318968833,0.9999272308908208
1996-03-31,0.9999853126480986,0.9999361323109313
1996-04-30,0.9999623454418765,0.9998977843956003
1996-05-31,0.9999614641888651,0.9998656656918156
1996-06-30,0.9999625906300709,0.9998977576324461
1996-07-31,0.9999587262511599,0.999856153494607
1996-08-31,0.9999566666669586,0.9998488280459604
1996-09-30,0.999955942282413,0.9998808636896255
1996-10-31,0.9998689517578335,0.9996406850893854
1996-11-30,0.9998153120346864,0.9996294431431819
1996-12-31,0.9998146829297766,0.9995934700260352
1997-01-31,0.9998089753996139,0.9996415296459402
1997-02-28,0.9998083084302603,0.9996633074913702
1997-03-31,0.9998034593661941,0.999669507225996
1997-04-30,0.999793972353537,0.9996375128116988
1997-05-31,0.9997912769785238,0.9995650468471664
1997-06-30,0.9997837203813237,0.9996463619494994
1997-07-31,0.9997899940339969,0.999617352578091
1997-08-31,0.9997749353614622,0.9996387642569877
1997-09-30,0.9997661907377122,0.9996304758651566
1997-10-31,0.999621916161604,0.9995987036964713
1997-11-30,0.9995945378960288,0.9996277130678797
1997-12-31,0.9995987254005649,0.9996380735576684
1998-01-31,0.9995975294406092,0.9995801024559328
1998-02-28,0.9996067781123847,0.9995140415017665
1998-03-31,0.9996274024635561,0.9996810775283599
1998-04-30,0.9997206680136637,0.9995836522631016
1998-05-31,0.9997377682879148,0.9996601847493314
1998-06-30,0.9997433440711753,0.9997674628836762
1998-07-31,0.9997365875027737,0.9997447702570008
1998-08-31,0.999653138676589,0.9996146871276046
1998-09-30,0.9995902565952405,0.9996652899258174
1998-10-31,0.9997725459537763,0.9997173433140913
1998-11-30,0.9998467641396871,0.9997222074780916
1998-12-31,0.9998432867593665,0.9997489971432724
1999-01-31,0.9998369714907973,0.9997722632643188
1999-02-28,0.999826312461943,0.9997541134885632
1999-03-31,0.9998191689140047,0.9997485097178448
1999-04-30,0.999827567269681,0.9997598673435169
1999-05-31,0.999820479705661,0.9997068650903803
1999-06-30,0.9998200647844576,0.9996951232975803
1999-07-31,0.9998252243020517,0.9997545200751446
1999-08-31,0.9998496154363037,0.9997721785765826
1999-09-30,0.9998774171034122,0.9998096360038754
1999-10-31,0.9999283461452169,0.9998368382866768
1999-11-30,0.9999284464727682,0.9997930167063955
1999-12-31,0.9999345654927083,0.9997996158058977
2000-01-31,0.9999335370653969,0.9998279157245199
2000-02-29,0.9999364389599452,0.9998138292509793
2000-03-31,0.9999278420949378,0.9997716965387734
2000-04-30,0.9999089937963329,0.9997610052802482
2000-05-31,0.9999002277953097,0.9997773980332034
2000-06-30,0.9998984820175059,0.9997994874820877
2000-07-31,0.9998964516393217,0.9997249040632081
2000-08-31,0.999908803372158,0.9997506106226662
2000-09-30,0.9999051652265106,0.9997323690911082
2000-10-31,0.999894451726287,0.9997604373508077
2000-11-30,0.999883965705368,0.9996985757614225
2000-12-31,0.9998063144835294,0.9996754192382983
2001-01-31,0.9998174430355535,0.9997453455308206
2001-02-28,0.9998108479713661,0.9997338389108277
2001-03-31,0.9997974706390536,0.9997300644288791
2001-04-30,0.9998021722633366,0.9996979266739513
2001-05-31,0.9998225225269105,0.9997197985804217
2001-06-30,0.9998259668572751,0.9997053105961716
2001-07-31,0.9998264346284379,0.9997116548244833
2001-08-31,0.9998230319011073,0.9997323793036355
2001-09-30,0.9997895571740197,0.9996744353517205
2001-10-31,0.9997903346756956,0.9996015822519364
2001-11-30,0.9998023592427895,0.9997005467644636
2001-12-31,0.9998281078731023,0.9996613677885058
2002-01-31,0.9998305752245682,0.9996861482514763
2002-02-28,0.9998324214805527,0.999725543182095
2002-03-31,0.9998544743023324,0.9997399180248061
2002-04-30,0.9998743677804943,0.9997009479679071
2002-05-31,0.9998718487098242,0.9997261856608053
2002-06-30,0.9998610790883168,0.9996920158144714
2002-07-31,0.9998129118292481,0.9996583606174435
2002-08-31,0.9997836208188134,0.9995887999808832
2002-09-30,0.9997800516184215,0.9996074454555001
2002-10-31,0.9997397499159155,0.9995862166282938
2002-11-30,0.9997336668649501,0.99954276649632
2002-12-31,0.9997319818154493,0.9995147874165735
2003-01-31,0.9997037407467199,0.9993799058561307
2003-02-28,0.9996559087159345,0.9992831095479683
2003-03-31,0.9996232384324819,0.9993412938946568
2003-04-30,0.9996207190149278,0.9993599894322189
2003-05-31,0.9996482000163154,0.9993702274084806
2003-06-30,0.9996454978514502,0.9993730433835933
2003-07-31,0.999715852236277,0.9994918975604642
2003-08-31,0.9997746242755563,0.9995899641811938
2003-09-30,0.9997751773433012,0.999626968148812
2003-10-31,0.9998322646315967,0.9997216582577395
2003-11-30,0.9998513151828095,0.9997597364865964
2003-12-31,0.9998576666324221,0.9997283977672717
2004-01-31,0.9998713773708212,0.9997684255318214
2004-02-29,0.9998782846705426,0.9997867912071092
2004-03-31,0.9998873364585179,0.9997927713873728
2004-04-30,0.999893388767639,0.9997922750314112
2004-05-31,0.9998922656733075,0.9998295620987746
2004-06-30,0.9998996894148057,0.9998313173147207
2004-07-31,0.9999032728167048,0.9998187566946319
2004-08-31,0.9998930566323844,0.9997846175733648
2004-09-30,0.9998991330185484,0.9997958899247266
2004-10-31,0.9999039212371168,0.999809240842621
2004-11-30,0.99990458169624,0.9998429069733485
2004-12-31,0.9999083844861689,0.9998191890064649
2005-01-31,0.9999093103317597,0.9998134521466415
2005-02-28,0.9999080489729901,0.9998355112393741
2005-03-31,0.9999157645458385,0.9998342303893192
2005-04-30,0.9999116106057212,0.9998674792516181
2005-05-31,0.9999166798703413,0.9998617953515075
2005-06-30,0.9999194781474717,0.9998551115132426
2005-07-31,0.9999218003623089,0.9998743464829285
2005-08-31,0.9999273839697075,0.9998518381717292
2005-09-30,0.9999275686975847,0.999846870220857
2005-10-31,0.9999254935180131,0.9998410239256511
2005-11-30,0.9999143789564345,0.9998070558746539
2005-12-31,0.9999123932959162,0.9998255208818613
2006-01-31,0.9999082778796207,0.9997893344523242
2006-02-28,0.9999089521546366,0.9998335847682377
2006-03-31,0.9999059915133157,0.999799920660795
2006-04-30,0.9999056526356638,0.9998218693617158
2006-05-31,0.999893726335308,0.9998018261361002
2006-06-30,0.9998854956119605,0.9997801146138071
2006-07-31,0.9998748518066141,0.9996940216341458
2006-08-31,0.9998733673184261,0.9996941557469518
2006-09-30,0.9998740247563946,0.9996720271339777
2006-10-31,0.9998780369147867,0.9997535982932081
2006-11-30,0.9998643552318391,0.9997400814921132
2006-12-31,0.9998604457183151,0.9997170389994026
2007-01-31,0.9998632672742827,0.9996437699958219
2007-02-28,0.9998648752993173,0.9997012180818152
2007-03-31,0.9998559961811017,0.9996636109826323
2007-04-30,0.9998524684621235,0.9997491995531865
2007-05-31,0.9998573820041847,0.999748197322562
2007-06-30,0.9998627195337242,0.9997529555958488
2007-07-31,0.9998750833219926,0.999751368129648
2007-08-31,0.999849294400512,0.9996737623574782
2007-09-30,0.999845512475875,0.9996536116351767
2007-10-31,0.999848539319508,0.9997138972701881
2007-11-30,0.999865112658517,0.999734830057017
2007-12-31,0.9998623617040484,0.9997849594673929
2008-01-31,0.9998435281129404,0.9997061465393491
2008-02-29,0.9998298527731853,0.9997445266219637
2008-03-31,0.999817380552393,0.9997274204351592
2008-04-30,0.9998362791665245,0.9997312148851609
2008-05-31,0.9998622773498524,0.9998000751186379
2008-06-30,0.9998499236348165,0.9997888783299764
2008-07-31,0.9998717634543798,0.9997833905937186
2008-08-31,0.9998836559157378,0.999817445960465
2008-09-30,0.9998081479776666,0.9996708598166436
2008-10-31,0.9995137382574757,0.9992819329500306
2008-11-30,0.9992571954353944,0.9991698324952956
2008-12-31,0.9992193770167432,0.9991459511889633
2009-01-31,0.9991213361060236,0.9990719077303084
2009-02-28,0.9989739302825551,0.99901004504857
2009-03-31,0.9989223896820878,0.9988758033946443
2009-04-30,0.9988428256778046,0.9988410085640895
2009-05-31,0.9988575474380772,0.9987634735841051
2009-06-30,0.9989119645673368,0.9989314849127338
2009-07-31,0.9989363143258849,0.9988459267572936
2009-08-31,0.9989053934466887,0.9988371190146772
2009-09-30,0.999076826226678,0.9990556108065543
2009-10-31,0.9994393788250928,0.9994209799812719
2009-11-30,0.9996431299673149,0.9995595922719585
2009-12-31,0.9997491192611709,0.9996750582730373
2010-01-31,0.9997868021962686,0.9996408120800637
2010-02-28,0.9998186581970107,0.999690959519045
2010-03-31,0.9998862945068961,0.9998173751509386
2010-04-30,0.9999033474899102,0.9998307318933554
2010-05-31,0.9998988887692815,0.9998277795426553
2010-06-30,0.9998933944860695,0.9998260944092938
2010-07-31,0.9998860956404723,0.9997811723394674
2010-08-31,0.999888253431378,0.9997945228598035
2010-09-30,0.9998826133929982,0.9998050158507809
2010-10-31,0.9998873457690591,0.9998303022557987
2010-11-30,0.9998917523687186,0.9998074140985335
2010-12-31,0.9998941866000145,0.99982236069013
2011-01-31,0.9998994071287816,0.9998363140160383
2011-02-28,0.9999058182227494,0.9998370124954296
2011-03-31,0.9999047004479715,0.9998375044491122
2011-04-30,0.9998732493632065,0.99982986768857
2011-05-31,0.9999001715236275,0.9998788477146093
2011-06-30,0.9999123552437129,0.9998887848117806
2011-07-31,0.9999173385450216,0.9998709181118163
2011-08-31,0.9998519243524345,0.9998247457411219
2011-09-30,0.9998298777986168,0.9997749598805472
2011-10-31,0.9997900593359665,0.9997514767959199
2011-11-30,0.9997635808405779,0.9996861510677153
2011-12-31,0.9997166595889588,0.9997122474828982
2012-01-31,0.999706901938349,0.9997035486778371
2012-02-29,0.9997191902135536,0.9997118520826681
2012-03-31,0.9997144215536202,0.9997006299333377
2012-04-30,0.9995616513248122,0.9995653530593922
2012-05-31,0.9995062370845943,0.9995811994582946
2012-06-30,0.9994708123227449,0.9995441373275149
2012-07-31,0.9994479835341521,0.9994791462891448
2012-08-31,0.9996216133684712,0.9996665047594354
2012-09-30,0.9996625129548604,0.9996730183383865
2012-10-31,0.9997350111059893,0.9997421352419821
2012-11-30,0.9997613966376084,0.9997471669514321
2012-12-31,0.9997881068232468,0.9997922698741015
2013-01-31,0.99977396682591,0.9997829192681822
2013-02-28,0.9997625617445238,0.999771918555336
2013-03-31,0.9997650433999569,0.9997958741300319
2013-04-30,0.9997735340229339,0.9997696303822375
2013-05-31,0.999773957526234,0.9998056768106679
2013-06-30,0.9997814424214531,0.999785919655474
2013-07-31,0.9997927176543292,0.9998078127193376
2013-08-31,0.9997794501327649,0.9998002925498615
2013-09-30,0.9997793500646421,0.9998100821308283
2013-10-31,0.9997751668209915,0.9997671859669557
2013-11-30,0.9997893815720831,0.9997917489155633
2013-12-31,0.9997939281655067,0.9997623801726627
2014-01-31,0.9997974586422247,0.999777509525066
2014-02-28,0.9998058648691093,0.9997169921154531
2014-03-31,0.9998046656142155,0.9997467168431159
2014-04-30,0.9998557613369385,0.999848528457909
2014-05-31,0.9998667576392163,0.9998529782682313
2014-06-30,0.9998764303150804,0.9997915708857823
2014-07-31,0.9998740889210495,0.9998392728524382
2014-08-31,0.9998887308427201,0.9998628910114553
2014-09-30,0.999886442298714,0.9998333843087516
2014-10-31,0.9998744904429846,0.9998433731507732
2014-11-30,0.9998746580896242,0.9998039927078025
