panel,category,test,spec,fm_coef_DG,fm_t_DG,ls_monthly_ret,ls_t,vuong_z,vuong_p,delta_aic,pass_fail_h1,pass_fail_h2,notes
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,,,,,,,,,,,
Panel I: Economic Significance,R09,,Market Q1 Bear,,,-0.0161,-2.1973,,,,,,
Panel I: Economic Significance,R09,,Market Q2,,,-0.0109,-2.8388,,,,,,
Panel I: Economic Significance,R09,,Market Q3,,,-0.0031,-0.7403,,,,,,
Panel I: Economic Significance,R09,,Market Q4 Bull,,,-0.0175,-2.639,,,,,,
Panel I: Economic Significance,R09,,Q1/Q5 balance,,,,,,,,,,
Panel I: Economic Significance,R09,,Economic magnitude,-0.0047,,,,,,,,,
Panel I: Economic Significance,R09,,Monthly IC (Spearman),,,,,,,,,,
Panel J: Multiple Testing Corrections,R10,R10.1,BHY-FM-primary,,,,,,,,,,BHY FDR correction; 244 specs
Panel J: Multiple Testing Corrections,R10,R10.2,Bonferroni-primary,,,,,,,,,,Bonf thresh=0.000205; N=1000 survives=False
Panel J: Multiple Testing Corrections,R10,R10.2,Bonferroni-N1000-conservative,,,,,,,,,,conservative upper bound for total tests
Panel J: Multiple Testing Corrections,R10,R10.3,HL2020-p0=0.33,,,,,,,,,,posterior P(true|t=-3.98)=0.9852
Panel J: Multiple Testing Corrections,R10,R10.3,HL2020-p0=0.50,,,,,,,,,,posterior P(true|t=-3.98)=0.9926
Panel J: Multiple Testing Corrections,R10,R10.3,HL2020-p0=0.10,,,,,,,,,,posterior P(true|t=-3.98)=0.9368
Panel K: Bootstrap Inference,R11,R11.1,bootstrap-FM-t,,,,,,,,,,CI contains zero: False
Panel K: Bootstrap Inference,R11,R11.2,bootstrap-LS-mean,,,,,,,,,,"skew=-0.24, kurt=0.18"
Panel K: Bootstrap Inference,R11,R11.3,bootstrap-Vuong-Z,,,,,,,,,,actual Vuong p=0.0068
