lag,acf,ci_lo,ci_hi,significant
0,1.0,0.0,0.0,True
1,-0.010419797452520266,-0.10521637949943279,0.10521637949943279,False
2,-0.0029284485264661504,-0.10522780245094272,0.10522780245094272,False
3,-0.019662490814363595,-0.10522870466488525,0.10522870466488525,False
4,0.017409435816812747,-0.10526937012029211,0.10526937012029211,False
5,-0.04760108870980602,-0.10530123911351218,0.10530123911351219,False
6,0.09726864206160579,-0.10553918412004432,0.10553918412004432,False
7,-0.009256411727747297,-0.10652698864228574,0.10652698864228574,False
8,0.03684395383839108,-0.1065358924184885,0.1065358924184885,False
9,-0.10647804063310465,-0.10667685894137527,0.10667685894137525,True
10,0.010761606444413294,-0.10784700800045764,0.10784700800045764,False
11,0.023462177071554124,-0.10785889545538449,0.10785889545538449,False
12,-0.06397756227873243,-0.10791538052276435,0.10791538052276435,False
13,-0.06587977611926248,-0.10833445989411185,0.10833445989411183,False
14,0.034326870037743276,-0.10877706666278326,0.10877706666278326,False
15,-0.06687239148389659,-0.10889692233125656,0.10889692233125654,False
16,0.0420728526269707,-0.10935059341957701,0.10935059341957704,False
17,0.0177990038260523,-0.10952965155385043,0.10952965155385043,False
18,-0.1091737176093494,-0.10956166724827528,0.10956166724827526,True
19,-0.027492600317513743,-0.11075944649248412,0.11075944649248412,False
20,-0.08643428804169162,-0.11083496780528385,0.11083496780528385,False
21,0.028042549992400394,-0.111578684241835,0.111578684241835,False
22,0.09524023832816442,-0.11165667959231985,0.11165667959231984,False
23,0.01105065315004339,-0.11255242462069318,0.11255242462069318,False
24,-0.06641975069636764,-0.11256443521717723,0.11256443521717724,False
25,-0.019610755809329982,-0.1129974726365185,0.1129974726365185,False
26,-0.13075561190898735,-0.11303514425279185,0.11303514425279186,True
27,0.022665182762648017,-0.11469737886012564,0.11469737886012564,False
28,-0.07133015838346274,-0.11474695101798071,0.11474695101798073,False
29,-0.0008473241012579005,-0.11523678167317253,0.11523678167317253,False
30,0.0018725097686627286,-0.11523685064545144,0.11523685064545144,False
31,0.010049244656444687,-0.11523718748484428,0.11523718748484427,False
32,-0.11596625567107051,-0.11524688862136372,0.1152468886213637,True
33,0.10678938685434894,-0.11653154491604029,0.11653154491604029,True
34,-0.05653431251953621,-0.11760993164843973,0.11760993164843973,False
35,0.048644722333023444,-0.11791039571256431,0.11791039571256431,False
36,-0.06511020395121478,-0.11813235712997258,0.1181323571299726,False
37,-0.0037144597393172006,-0.11852897065269542,0.11852897065269542,False
38,-0.0222349124307076,-0.11853025929132019,0.1185302592913202,False
39,0.015279872886554387,-0.11857642545122157,0.11857642545122157,False
40,-0.012209658511529692,-0.11859822100579082,0.11859822100579082,False
41,0.06292527819461856,-0.11861213558545101,0.11861213558545101,False
42,-0.017852259453631166,-0.11898112412319783,0.11898112412319783,False
43,0.007977723274201834,-0.11901077386463038,0.11901077386463037,False
44,0.06161011384512487,-0.11901669394444403,0.11901669394444404,False
45,0.05473698270549894,-0.11936924343637512,0.1193692434363751,False
46,0.026075827332281185,-0.11964678714110084,0.11964678714110084,False
47,0.0332855946717117,-0.11970968382127546,0.11970968382127546,False
48,-0.05845697054993786,-0.1198120990001913,0.11981209900019131,False
49,0.04280005647845272,-0.12012743061121631,0.12012743061121631,False
50,-0.017236175809228597,-0.12029612800223283,0.12029612800223281,False
51,-0.02052220825357151,-0.12032346479408088,0.12032346479408086,False
52,0.0443086591637091,-0.12036220791882472,0.12036220791882471,False
53,0.0020465926851698873,-0.12054264606981528,0.12054264606981528,False
54,0.0006848387210017276,-0.1205430307396482,0.1205430307396482,False
55,0.03065684608336671,-0.12054307381225318,0.12054307381225318,False
56,-0.04109687195327925,-0.12062935656451843,0.1206293565645184,False
57,0.007226914656542617,-0.1207842569436548,0.12078425694365481,False
58,0.016941312504192108,-0.12078904383557246,0.12078904383557247,False
59,-0.010739853727501997,-0.12081534566699306,0.12081534566699308,False
60,-0.04347516830175817,-0.12082591438582498,0.12082591438582496,False
