,DG,DH_z,DS_z,T,ret_next_month
DG,1.0,0.9997650566730802,-0.8631191374158138,1.4072329620370565e-18,-0.047943145562571066
DH_z,0.9997650566730802,1.0,-0.8530684046173245,-4.336400340172298e-18,-0.047852096380034834
DS_z,-0.8631191374158138,-0.8530684046173245,1.0,-3.294840475413999e-18,0.048120934036584705
T,1.4072329620370565e-18,-4.336400340172298e-18,-3.294840475413999e-18,1.0,0.06446407251478277
ret_next_month,-0.047943145562571066,-0.047852096380034834,0.048120934036584705,0.06446407251478277,1.0
