quarter,DG_Q1,DG_Q2,DG_Q3,DG_Q4,DG_Q5,DG_LS,DS_Q1,DS_Q2,DS_Q3,DS_Q4,DS_Q5,DS_LS
1995Q4,0.7030233682514089,0.050151678246403666,0.011213456147376899,0.027027027027027195,-0.05033281770027651,-0.7533561859516854,0.03059081903902509,0.03350403104982843,0.01603472169095884,0.05371336622747373,0.0837753558881493,0.053184536849124206
1996Q1,-0.02141374743823639,-0.03332502677361042,-0.005792396588234287,-0.00957841468991679,0.046647077020736755,0.06806082445897314,-0.0037744192179798726,0.00900687984080342,0.00750010871773624,-0.011747180018909497,-0.030150889313586882,-0.02637647009560701
1996Q2,0.11339626928884095,0.11763867377410928,0.046961600625712356,0.09079207877485977,0.10186020307899576,-0.01153606620984518,0.08637566212785604,0.07956851799667922,0.08408544944579831,0.07374277572109436,0.14902931398140562,0.06265365185354958
1996Q3,0.08769153900318799,0.04852419394270155,0.061418811707815095,0.09284759533429494,0.07677669411315086,-0.010914844890037134,0.07651261805534032,0.07300080272880702,0.09805260897712327,0.06698613745947872,0.06226178092546278,-0.014250837129877542
1996Q4,0.03840551104152326,0.03470015932275013,0.040806988708096445,0.06891437815208597,0.05452051713285125,0.016115006091327988,0.027447948863312876,0.039098504992791105,0.05424120117010467,0.05205022104776903,0.06660940878216731,0.03916145991885443
1997Q1,0.15266392476157678,0.14315460266090016,0.1426028503417961,0.13498166594348857,0.1458092613598517,-0.006854663401725081,0.11266826672000821,0.12305475826329867,0.159827268342484,0.14711599333819306,0.20386469624638529,0.09119642952637708
1997Q2,0.004414394185677978,0.017657975293734595,0.0648370465770947,0.020067216794893452,0.0506969034065275,0.046282509220849526,0.04609222885165843,0.03193208061176039,0.042651726006543995,0.08017248438321767,-0.00730281731574276,-0.05339504616740119
1997Q3,0.09096899407338213,0.10528518280847254,0.09119052642301781,0.10770411421034241,0.15463698978113216,0.06366799570775003,0.12878545646318,0.10223355978308658,0.11007973539109144,0.1029522995419567,0.09263907452876068,-0.03614638193441931
1997Q4,0.0003146063782702033,0.028853609590882744,0.03606378651460553,-0.006631533169745357,0.032512363966382726,0.032197757588112524,0.0008618397071541471,0.037885435379318884,0.022722419493834866,0.021727476214785726,-0.00029415324198650864,-0.0011559929491406556
1998Q1,-0.16138701279861187,-0.11382226225035436,-0.10166141492903696,-0.09821479056280544,-0.08157864058577743,0.07980837221283443,-0.08968939601543598,-0.10555827241503134,-0.13273897579900415,-0.1532413809040606,-0.18620122895109575,-0.09651183293565978
1998Q2,0.0033568182505086318,0.007149894464065966,-0.01971603295474237,0.013108237212207633,0.002737025308713155,-0.0006197929417954768,-0.008833160629432027,-0.01844745352688104,-0.002502085611302488,-0.04482666232440498,0.003658618278331977,0.012491778907764005
1998Q3,0.009213648304978131,0.050407338806430085,0.04693908298210709,0.01413902185973329,0.0007889026986396888,-0.008424745606338442,-0.007105992993087022,-0.00872965431329902,0.01843657392157677,0.09005411376842315,0.05461224095625835,0.06171823394934537
1998Q4,0.08812784505200941,0.09853792723942387,0.11011864649612188,0.08855725290458324,0.04652251627292556,-0.04160532877908385,0.06447578685388025,0.08212196845200462,0.1089137220744716,0.09932779153576453,0.11295369702309806,0.048477910169217805
1999Q1,0.019289796518704213,0.038465622912368,0.0195350766597699,0.00233105554911901,-0.011991299808218434,-0.03128109632692265,-0.0026444762893900364,-0.0041533952282530665,0.013441485238337198,0.04208894294158915,0.034817662051827215,0.037462138341217255
1999Q2,0.09557080286612264,0.030661829696169353,-0.01970379590717042,-0.03460038645474822,-0.010051321223355666,-0.10562212408947831,-0.050263300923853615,-0.049749666602349855,-0.0020716811157047367,0.08416051516286825,0.10796783903491407,0.1582311399587677
1999Q3,0.5087830124359094,0.3208765780592515,0.14545783179350474,0.07941376267388564,0.09488932517660302,-0.41389368725930636,-0.04403831032733281,0.03258001686778689,0.17710988707913541,0.4500936419761217,0.6715969717303442,0.715635282057677
1999Q4,-0.09013379461724544,-0.018700559134352996,0.0070629248767289845,-0.011509794532376022,0.000919083335891589,0.09105287795313703,0.01617291142439449,0.017171956354526705,-0.017483632766930386,-0.07109341610001012,-0.22295253397253517,-0.23912544539692965
2000Q1,-0.014407291373261697,0.025461690852883443,0.022312653948130014,0.014122559076586827,0.055336442007939086,0.06974373338120078,0.057245773197380494,0.037337819457304515,0.007416433429416958,-0.0002958938197326627,-0.02421848885257545,-0.08146426204995594
2000Q2,-0.14855300262687002,-0.06688115313366326,-0.0656322410669204,-0.06745935207573533,0.01084458170456408,0.15939758433143408,0.011653574861617402,-0.03315670028231535,-0.05752403384092066,-0.09407848646916135,-0.19376580506068758,-0.20541937992230497
2000Q3,-0.10764499268477361,-0.04969935532417941,-0.015540088793796546,0.020156493454323448,0.09884857993692468,0.2064935726216983,0.07853240291360551,0.07698168898131916,0.025907538577913895,-0.035456363547481703,-0.2002243739949667,-0.2787567769085722
2000Q4,0.08281989430723123,0.07755740093540921,0.0792415861806653,0.07966755700825745,0.06729254706259946,-0.01552734724463177,0.05699999900135697,0.07636740684777742,0.08042656760178889,0.10323886242875126,0.08356563581368541,0.026565636812328437
2001Q1,-0.056771707344447274,-0.030310664385551318,0.00457781015528848,0.019908872316186415,0.10231810895626735,0.15908981630071461,0.07895115910811795,0.040409611580629605,0.027955054980309944,-0.022331830175035244,-0.09558528383256452,-0.1745364429406825
2001Q2,-0.0743539615642925,-0.02472756406116726,-0.025497343525891607,-0.032543715315743245,-0.028021379689861826,0.04633258187443067,-0.015482574899220825,-0.04465793778293523,-0.059688331610152065,-0.017211494403190662,-0.043159612888034826,-0.027677037988814
2001Q3,0.10450712792564172,0.14406299731324224,0.14676360254080897,0.17902832771760183,0.11980554983574776,0.015298421910106039,0.12247089077887573,0.14386374385241832,0.17642957059171557,0.14702542888705294,0.09168565759853149,-0.030785233180344235
2001Q4,-0.03836314057130251,-0.0019190610441091886,0.029053100481802614,0.03891462822807227,0.06731793611087514,0.10568107668217765,0.06501483384512004,0.045589436921656984,0.03660368927456917,-0.009014088037179091,-0.07115328123681705,-0.1361681150819371
2002Q1,-0.26236936106692027,-0.23683142955466427,-0.19132777957850425,-0.18339156452762856,-0.07496631361468777,0.18740304745223252,-0.07260854278710037,-0.1326463029171217,-0.21006611888940194,-0.24992418971293762,-0.2901519506673508,-0.2175434078802504
2002Q2,0.006057344507069181,0.018071260213777307,-0.0014259346927914737,-0.024301480310916897,0.0062099799006948495,0.00015263539362566844,-0.009705197873604481,-0.02819221503916609,-0.012076502805954474,0.020412512623401963,0.043452507657247195,0.053157705530851675
2002Q3,0.01186667197870248,0.03893072032557715,-0.008120574542077864,-0.02137158844917379,0.034394197013136465,0.022527525034433983,0.027416693997141892,-0.002101192011308693,-0.006872325658996501,0.015751363752929633,0.01947748692310497,-0.007939207074036923
2002Q4,0.27671539983486315,0.2088349846713769,0.1681183904804355,0.15918001237723384,0.1186421664943084,-0.15807323334055476,0.07613861301088586,0.1291105432651336,0.1946508292556356,0.2605466544215479,0.28741273424042907,0.2112741212295432
2003Q1,0.2681146298814124,0.22601854886789619,0.19658556084602186,0.1544299753585946,0.11140803100555367,-0.1567065988758587,0.07949961385542474,0.12438412705697743,0.21647147766562547,0.26898576976502986,0.2746036735102765,0.19510405965485172
2003Q2,0.29196108792562464,0.21976919812443188,0.1910235164620733,0.15325436844807375,0.12421308934396136,-0.16774799858166328,0.0965295385333462,0.14254563207164,0.179597365193049,0.2390451388770439,0.3242570309468966,0.22772749241355042
2003Q3,0.14636583783498458,0.13852096263874802,0.1528868460758624,0.11901922050342048,0.08702081890152663,-0.05934501893345795,0.08887833116452308,0.11420588675962394,0.1435482011500837,0.16227949267150057,0.14404182893787612,0.05516349777335304
2003Q4,-0.07181869619788225,-0.04019432755013637,-0.023567757214002377,-0.010047940542813816,-0.047812703662821227,0.024005992535061027,-0.04054960595846711,-0.010734221086287408,-0.010364042983555382,-0.05139072925613762,-0.0834134450297008,-0.04286383907123369
2004Q1,-0.12497338825358324,-0.07455829937143779,-0.03140564113002744,-0.02471450725419474,-0.015653343558529285,0.10932004469505396,0.02142900933309968,-0.005703513104903444,-0.036121970104674085,-0.10161054324290368,-0.1547867281533152,-0.1762157374864149
2004Q2,0.13649571613551378,0.14118630946934013,0.13967246837603986,0.11962079413138707,0.12531831721168346,-0.011177398923830323,0.09391675580361729,0.10505306293293805,0.12985868044265636,0.16491560726295085,0.16884542208236586,0.07492866627874857
2004Q3,0.06963119892927812,0.09144471761080371,0.07899049750916819,0.07074810198262349,0.018401493710259734,-0.05122970521901839,0.049677089928102755,0.06749439995498807,0.07910412505180421,0.07282371490090461,0.06464762215018896,0.014970532222086205
2004Q4,-0.07206450892318214,-0.05071887625776146,-0.03171328422524951,-0.03338693351259763,-0.029476606358842534,0.04258790256433961,-0.02230432693825847,-0.021856105052845406,-0.033006126846516874,-0.05685962135449487,-0.08311519972354046,-0.060810872785281994
2005Q1,0.11242214042387849,0.1166320749958937,0.11803889030961841,0.09713128130293511,0.06809671474881036,-0.04432542567506813,0.06290478779909921,0.08673701281642585,0.11667541647041775,0.12601393931769167,0.12138026664957238,0.058475478850473175
2005Q2,-0.00942599236985484,0.00021421658544475342,-0.005331804257508842,-0.0064015641660313555,-0.005648496310231865,0.003777496059622976,-0.013871029485918947,0.006821569828298732,6.816135617596296e-05,0.001625592475427175,-0.025967513790027683,-0.012096484304108736
