q,beta_dH,beta_dS,T,n_stocks
1996Q1,0.005744320524980575,-0.012157521005027807,0.025371133490391194,186
1996Q2,-0.0021837473178670233,0.025347060892123116,0.025795486330150542,207
1996Q3,-0.013214316449134195,-0.019641095369455998,0.02749451146425572,242
1996Q4,0.006418365084929236,0.011597939100689954,0.027674847036166014,273
1997Q1,0.004465927925648996,0.03511412469059737,0.027860312360499316,360
1997Q2,-0.006555162358338075,-0.01801549553830295,0.029665353932985052,383
1997Q3,0.010026381480219886,-0.009892059898252488,0.030006283200840166,409
1997Q4,0.002197651746123414,-0.0006394082732099245,0.03572386522399776,433
1998Q1,0.014355740665367501,-0.02917036019960769,0.03586942270372456,694
1998Q2,0.010100375542960349,0.017064326260445378,0.03512795228426926,759
1998Q3,0.018352993374759874,0.047005990489351675,0.04405592430558785,836
1998Q4,-0.0026032832085310046,0.00619094915511147,0.04310251071942407,951
1999Q1,0.012251714726699382,0.019971479761261325,0.04594618741275353,1786
1999Q2,-0.008515454410375756,0.06331883879992412,0.048054613890709856,1869
1999Q3,-0.06159573824064511,0.2580288235588448,0.040133029825957275,1967
1999Q4,0.00515940342735779,-0.09423099652778338,0.03803906961409784,2130
2000Q1,0.012310688606758071,-0.013349550463663892,0.04117139407413075,4140
2000Q2,0.02480214502176867,-0.05438457316481015,0.04916903974324121,4379
2000Q3,0.018479405125394886,-0.10993656052786414,0.04870013847232176,4515
2000Q4,-0.005575917342961631,0.006551136249184855,0.05565097252880448,4705
2001Q1,0.01701607923590371,-0.052686076913487624,0.05671509294175257,4901
2001Q2,0.019202900817034456,0.0005421299008768221,0.05165083730097646,4847
2001Q3,0.008301038973401448,-0.012009412577242607,0.055779374683024505,4744
2001Q4,0.012394585584165245,-0.04684163555449066,0.048953172886114754,4751
2002Q1,0.02151530788294396,-0.06167616611085218,0.04402241940892316,5004
2002Q2,0.0013288738513393512,0.019922038118541176,0.041137398136489256,4967
2002Q3,0.0004917185150893089,-0.005197665488100953,0.05120295074849302,4855
2002Q4,-0.026814665006032235,0.06711900862901027,0.05711282885002496,4832
2003Q1,-0.021193645573868002,0.06669540625628097,0.060650164039246786,4940
2003Q2,-0.027359998759828544,0.07170760097607623,0.059189424584604015,4873
2003Q3,-0.009769894619350336,0.0104533638416667,0.04479319982413558,4752
2003Q4,0.012302175701218776,-0.017160303017922263,0.03652900364373307,4715
2004Q1,0.019095308790770985,-0.054374808255561215,0.03130474559802023,4747
2004Q2,0.009626843183258743,0.0356064800295538,0.029262243115591603,4695
2004Q3,0.0020516208099175576,0.0031326042725402024,0.028312233540482058,4589
2004Q4,0.006751573029318687,-0.021631190452137097,0.027933230453856626,4542
2005Q1,0.009354708909354423,0.01679062716470324,0.027300008117933032,4540
2005Q2,0.002732090526500486,-0.006074164126263488,0.02723904829958423,4478
2005Q3,-0.005532178315390485,0.04801366092940261,0.026491337990852744,4383
2005Q4,0.0034983295176943914,-0.0064534573873353054,0.026754046974223095,4355
2006Q1,0.008406707889650191,-0.04157412980452484,0.02650022950025195,4376
2006Q2,0.0026580725907649374,0.01099143435839973,0.02721490484175364,4317
2006Q3,0.0029874775098321774,0.012399862839444147,0.02771539020264252,4196
2006Q4,0.00782632752702679,-0.0012567660168398762,0.026913040551926826,4186
2007Q1,-0.003556254605044531,-0.0002533861628144738,0.027697960785707004,4298
2007Q2,-0.0010808836280915906,-0.012423223730695711,0.02699139348745945,4230
2007Q3,0.007068905513307559,-0.035392622736938543,0.03020975181906993,4183
2007Q4,-0.0029632832701965246,0.0059876879626099295,0.034713791918676774,4169
2008Q1,0.009270709857335226,-0.008150298099255304,0.040718552875386387,4258
2008Q2,0.004862110463433005,-0.05653004738254413,0.04346482844067844,4212
2008Q3,-0.02072680050415212,0.02078131294890686,0.055605830583600954,4108
2008Q4,0.0339264271344716,0.111001810464395,0.11397848099131566,4093
2009Q1,-0.0307772493585972,0.03373896455869803,0.12935575184210646,4192
2009Q2,-0.0013153887297720382,0.012871526199930605,0.13606095406417534,4173
2009Q3,0.010477882549638641,0.03100685696499627,0.12322891128580124,4109
2009Q4,0.01677214564200037,0.01973777606507271,0.06346395393884041,4089
2010Q1,-0.0021308679546127433,-0.02930330108218484,0.04241167741778557,4183
2010Q2,0.00026183487247474275,0.00687696832442583,0.041501602875034925,4129
2010Q3,0.007192068257015356,0.018238982014688047,0.042099557189095,4029
2010Q4,0.004937446405214749,-0.00884228965646796,0.040212650763089955,3996
2011Q1,0.00774648729183433,-0.034031256491095514,0.03990231756188042,3980
2011Q2,0.014920569886734784,-0.024817250736482922,0.032875368088372776,3924
