,Avg Monthly Ret (%),Ann Ret (%),Ann Std (%),Sharpe,FF5+UMD Alpha (%),Alpha t-stat
Q1,2.218,30.117,25.51,0.957,2.165,5.28***
Q2,1.537,20.086,18.759,0.866,1.44,4.53***
Q3,1.359,17.584,16.632,0.848,1.243,4.18***
Q4,1.186,15.192,14.292,0.841,1.05,4.26***
Q5,1.027,13.048,11.583,0.874,0.858,4.27***
L/S (Q5-Q1),-1.191,-13.39,21.359,-0.772,-1.491,-4.43***
